id_categoria,id_catalogo,id_publicacion,id_comentario,marca,rate,valorization,title,content
e45af82f,d7d17801,438bbf39,419611d7,A,5,2,Excelente,Lamparas para un bote de 8 centímetros de diámetro por 8 centímetros de hondo quedan muy bonitas las puse en una escalera y se ven muy bonitas.
e45af82f,d7d17801,438bbf39,23e52627,A,3,0,Bueno,"Tengo 10 lámparas de estas, en menos de 2 años ya se han fundido 4, se ven muy lindas pero no son muy durables."
e45af82f,80f01ab6,3e7e9ca6,20c689b0,A,5,0,Excelente,Excelente compra muy bonitas.
e45af82f,80f01ab6,3e7e9ca6,839dca70,A,5,0,Excelente,Hermosas.
e45af82f,80f01ab6,3e7e9ca6,378878a3,A,5,0,Excelente,Muy bonita mejor se lo que se ve el la foto.
e45af82f,17090e4b,9d97a821,349e7f79,A,1,0,Muy malo,"El producto es de poca calidad.
El material es como plástico (dice que es cristal opalino).
No trae el foco que se necesita.
No trae instructivo de instalacion."
e45af82f,17090e4b,9d97a821,4f9880ad,A,3,0,Bueno,"Le doy tres estrellas porque no vino el protector del foco en una de las lámparas, el electricista ya había comenzado a montar, por eso no la devolví."
580625f9,96a5a209,f42fba63,312aef74,A,5,0,Excelente,Excelente. Original tecnolite.
580625f9,96a5a209,f42fba63,42f777d5,A,5,0,Excelente,Muy buena iluminación. Fácil de instalar. Excelente.
e45af82f,d574fd5c,97f3c339,016024f7,A,5,0,Excelente,Excelente.
580625f9,fd055dc0,1f6f6fe9,3808ca35,A,5,1,Excelente,Muy buenas lámparas.
580625f9,fd055dc0,1f6f6fe9,d58f6fec,A,5,0,Excelente,Buena iluminación.
580625f9,fd055dc0,1f6f6fe9,f67c7aca,A,5,0,Excelente,Justo lo que necesitábamos. Muy recomendables.
580625f9,fd055dc0,1f6f6fe9,f07b72b2,A,5,0,Excelente,Excelente.
580625f9,fd055dc0,1f6f6fe9,2c793628,A,5,0,Excelente,Ilumina muy bien a y está a buen precio.
580625f9,fd055dc0,fab2631c,57c54dc8,A,5,0,Excelente,Justo lo que necesitaba y más barato que en otro lugares!.
580625f9,fd055dc0,ff3c549a,232aca5a,A,5,0,Excelente,Bieno.
580625f9,fd055dc0,ff3c549a,af8dc7df,A,1,-1,Muy malo,Carísimas.
580625f9,c26928a8,c711a703,45b66721,A,4,0,Muy bueno,Iluminan lo suficiente de acuerdo al precio buenas.
31035108,2102d9c9,2d808648,4eabc40f,A,5,0,Excelente,Excelente.
81027fa9,949bbb51,e7c51b5d,c327781e,B,5,0,Excelente,Es la segunda que compro muy buena.
3bf73c5a,7e0d85f7,6d8925bf,39d69c34,B,5,1,Excelente,"Son muy cómodos no te cansan, se ven geniales."
3bf73c5a,7e0d85f7,6d8925bf,2f65bcf1,B,5,0,Excelente,Excelente calidad y comodidad y se ven deportivos y elegantes.
3bf73c5a,7e0d85f7,6d8925bf,3dfd9110,B,4,0,Muy bueno,Buenos y bonitos.
3bf73c5a,7e0d85f7,6d8925bf,b53b7216,B,5,0,Excelente,Excelente producto.
3bf73c5a,7e0d85f7,6d8925bf,958462e8,B,5,0,Excelente,Muy bu.
3bf73c5a,7e0d85f7,6d8925bf,5849f91c,B,1,0,Muy malo,Muy frágiles.
3bf73c5a,7e0d85f7,e665a46a,dfe52541,B,5,0,Excelente,Excelente produto.
3bf73c5a,7e0d85f7,e665a46a,d7281327,B,1,0,Muy malo,No es lo que se muestra en la noche magen y mala calidad.
31035108,ae1baab7,d01b8944,9a7fc79b,A,5,1,Excelente,Muy bueno la verdas.
31035108,ae1baab7,d01b8944,984f0412,A,5,1,Excelente,Excelente producto.
31035108,ae1baab7,d01b8944,0aa6a7de,A,5,1,Excelente,"Excelentes luces, con mucha duración."
31035108,ae1baab7,d01b8944,ae0c5562,A,5,0,Excelente,"Buen precio, fácil instalación esperemos duren mucho."
31035108,ae1baab7,d01b8944,a1bd9300,A,5,0,Excelente,Super bien todos funcionan y facile de cambiar.
3280c85e,fad4ce82,fa2f57cc,9d45dff0,A,5,1,Excelente,"Iluminan muy bien, con dos lámparas ilumine un pequeño tejado, fácil de instalar."
3280c85e,fad4ce82,fa2f57cc,12e653eb,A,5,1,Excelente,"Es buen reflector, la luz cálida da un aspecto muy bonito. Funcional, no ocupa mucho espacio, fácil de colorar ya que tiene un juego de taquetes expansivos y tres roscas para juntar cables de electricidad."
3280c85e,fad4ce82,fa2f57cc,1682416a,A,4,0,Muy bueno,Buena calidad y muy buen precio.
3280c85e,fad4ce82,fa2f57cc,30273c3d,A,5,0,Excelente,Se ve de mucha calidad.
